ID	Year	Mon	Res	solids	NTU	org/ml	MPN/100ml	MPN/100ml	LosR	Silica	Ca	Mg	Ca+Mg	NO3	NO3 (USGS)	Cl2	Na	SO4	K	pH	Alk	Hard	Nhard	C USGSTemp	F USGS	Temp	MD Precip inch/mon	MD Temp F
	1905	1																									3.8	28
	1905	2																									2.76	24.4
	1905	3																									3.21	44.6
	1905	4																									2.84	51.7
	1905	5																									2.98	63.9
	1905	6																									4.55	70.7
	1905	7																									7.94	74.8
	1905	8																									5.26	72.5
	1905	9																									2.78	66.4
	1905	10																			75						2.82	56.1
	1905	11																									1.32	42.4
	1905	12														3.45					74	75					4.37	35.8
	1906	1														3.25					78	86					2.96	38.1
	1906	2												0.797		1.96					51	56					2.52	32.2
	1906	3												0.685		1.8					40	48					4.89	35.9
	1906	4												0.944		1.52					40	50					3.25	53
	1906	5												0.735		1.93					62	72					2.65	62.6
	1906	6												0.794		2.16					67	78					6.03	71.4
	1906	7												0.745		1.79					73	80					5.28	73.5
	1906	8												0.569		1.63					57	67					8.44	75.2
	1906	9												0.794		1.96					80	86					1.3	70
	1906	10												0.744		2.92					79	85					5.21	54.9
	1906	11												0.933		2.82					65	69					1.46	44.3
	1906	12												0.95		2.9					53	60					4.19	34.9
	1907	1												1.16		1.93					39	47					3.31	35
	1907	2												1.331		2.3					48	59					2.48	27
	1907	3												1.325		1.85					37	46					3.35	45.3
	1907	4												1.155		1.96					50	57					3.35	45.9
	1907	5												0.667		1.78					48	52					4.56	57.3
	1907	6												0.368		1.89					47	59					5.81	64.3
	1907	7												0.66		2.84					58	63					4.15	74.2
	1907	8												0.514		2.07					70	78					4.46	70.9
	1907	9												0.433		1.8					81	87					6.44	67.6
	1907	10												0.74		2.04					69	72					2.36	50.6
	1907	11												0.517		2.63					51	61					5.37	41.9
	1907	12												0.607		2.21					46	56					4.2	36.3
	1908	1												0.739		1.83					43	49					3.36	32
	1908	2												0.65		2.28					48	54					4.34	28.4
	1908	3												0.481		1.23					38	45					3.22	44.9
	1908	4												0.383		2.22					55	66					2.31	53.4
	1908	5												0.375		1.5					39	43					6.2	62.7
	1908	6												0.395		1.86					66	72					2.16	69.9
	1908	7												0.325		1.91					79	90					4.99	76.1
	1908	8												0.433		1.87					72	75					5.05	71.3
	1908	9												0.267		2.53					85	87					2.48	65.3
	1908	10												0.205		2.58					96	108					2.36	56.8
	1908	11												0.2		2.85					70	100					0.97	43.7
	1908	12												0.26		3.64					81	103					3.23	35.3
	1909	1												0.207		2.23					61	77					2.84	34.3
	1909	2												0.471		1.31					41	56					3.7	40.7
	1909	3												0.605		1.67					40	53					3.75	39.4
	1909	4												0.319		1.76					45	60					3.53	51.5
	1909	5												0.275		1.51					48	53					3.57	61.5
	1909	6												0.243		1.42					45	48					5.12	71.3
	1909	7												0.15		1.41					68	68					1.63	72.7
	1909	8												0.1		2.03					90	96					3.15	71.3
	1909	9												0.18		3.46					97	102					3.47	64.8
	1909	10												0.121		3.86					103	110					1.8	51
	1909	11												0.151		4.05					92	104					1.18	48.3
	1909	12												0.248		4.24					81	108					3.69	29.9
	1910	1												0.425		3.12					56	83					4.54	31.3
	1910	2																									2.51	31.9
	1910	3																									1.19	48.2
	1910	4																									5.61	54.9
	1910	5												0.265		2.5					60	84					3	59.3
	1910	6												0.15		1.65					47	64					5.8	67.2
	1910	7												0.146		2.36					70	89					2.53	75.5
	1910	8												0.093		3.03					88	96					2.83	71.9
	1910	9												0.099		3.89					99	105					1.97	68.8
	1910	10												0.05		4.69					102	110					3.23	58.4
	1910	11												0.098		4.65					99	114					2.09	39.1
	1910	12												0.293		5.1					110	114					2.36	27.6
	1911	1												0.611		3.75					51	66					4.11	36.1
	1911	2												0.975		3.31					39	51					2	34.4
	1911	3												0.613		2.26					38	46					2.59	39
	1911	4												0.325		2.51					37	47					3.22	47.8
	1911	5												0.171		1.88					59	67					1.11	66.8
	1911	6												0.25		2.75					69	101					4.19	71
	1911	7												0.224		2.93					68	85					2.78	76.4
	1911	8												0.14		4.1					76	86					10.09	74.3
	1911	9												0.525		2.95					54	60					2.9	68.6
	1911	10												0.31		3.14					54	53					3.5	55.7
	1911	11												0.325		3.35					48	51					4.07	41.5
	1911	12												0.4		3.56					48	51					3.71	39.2
	1912	1												0.55		2.66					47	49					2.69	23.1
	1912	2												0.625		2.14					45	43					2.6	28.4
	1912	3												0.738		2.43					36	39					6.78	38.7
	1912	4												0.59		2.41					49	47					2.74	53.6
