Id,Year,Mon,Res,solids,NTU,org_ml,MPN_100ml,MPN_100ml__1,LosR,Silica,Ca,Mg,Ca_Mg,NO3,NO3_USGS,Cl2,Na,SO4,K,pH,Alk,Hard,Nhard,C_USGSTemp,F_USGS,Temp,MD_Precip_inch_mon,MD_Temp_F
19051,1905,1,,,,,,,,,,,,,,,,,,,,,,,,,3.8,28
190510,1905,10,,,,,,,,,,,,,,,,,,,75,,,,,,2.82,56.1
190511,1905,11,,,,,,,,,,,,,,,,,,,,,,,,,1.32,42.4
190512,1905,12,,,,,,,,,,,,,,3.45,,,,,73.5,75.25,,,,,4.37,35.8
19052,1905,2,,,,,,,,,,,,,,,,,,,,,,,,,2.76,24.4
19053,1905,3,,,,,,,,,,,,,,,,,,,,,,,,,3.21,44.6
19054,1905,4,,,,,,,,,,,,,,,,,,,,,,,,,2.84,51.7
19055,1905,5,,,,,,,,,,,,,,,,,,,,,,,,,2.98,63.9
19056,1905,6,,,,,,,,,,,,,,,,,,,,,,,,,4.55,70.7
19057,1905,7,,,,,,,,,,,,,,,,,,,,,,,,,7.94,74.8
19058,1905,8,,,,,,,,,,,,,,,,,,,,,,,,,5.26,72.5
19059,1905,9,,,,,,,,,,,,,,,,,,,,,,,,,2.78,66.4
19061,1906,1,,,,,,,,,,,,,,3.25,,,,,78,85.5,,,,,2.96,38.1
190610,1906,10,,,,,,,,,,,,0.74375,,2.917391304,,,,,78.65217391,85.34782609,,,,,5.21,54.9
190611,1906,11,,,,,,,,,,,,0.933333333,,2.821875,,,,,64.53125,69,,,,,1.46,44.3
190612,1906,12,,,,,,,,,,,,0.95,,2.897142857,,,,,53,59.67647059,,,,,4.19,34.9
19062,1906,2,,,,,,,,,,,,0.796666667,,1.957894737,,,,,50.76190476,55.8,,,,,2.52,32.2
19063,1906,3,,,,,,,,,,,,0.685,,1.797560976,,,,,39.96666667,47.62295082,,,,,4.89,35.9
19064,1906,4,,,,,,,,,,,,0.94375,,1.520408163,,,,,40.38983051,50.01694915,,,,,3.25,53
19065,1906,5,,,,,,,,,,,,0.735,,1.93030303,,,,,62.1969697,71.57575758,,,,,2.65,62.6
19066,1906,6,,,,,,,,,,,,0.79375,,2.16,,,,,67.47169811,78.2,,,,,6.03,71.4
19067,1906,7,,,,,,,,,,,,0.745,,1.786666667,,,,,72.74074074,80.36,,,,,5.28,73.5
19068,1906,8,,,,,,,,,,,,0.56875,,1.625,,,,,56.6,67.46666667,,,,,8.44,75.2
19069,1906,9,,,,,,,,,,,,0.79375,,1.96,,,,,80.42857143,85.58333333,,,,,1.3,70
19071,1907,1,,,,,,,,,,,,1.16,,1.932,,,,,39.08,46.64,,,,,3.31,35
190710,1907,10,,,,,,,,,,,,0.74,,2.04,,,,,69.28,72.3,,,,,2.36,50.6
